"","x"
"1",3995.14245380496
"2",4007.76774873436
"3",4000.99569874263
"4",3994.79030283979
"5",3999.98286862619
"6",4003.43074620963
"7",3992.49350848648
"8",3997.87846217695
"9",3997.411136819
"10",3999.70575311272
"11",3993.55466888745
"12",3997.51091852286
"13",4000.32791267098
"14",4002.90013884787
"15",4004.68885520137
"16",4001.70109187199
"17",4005.83969490043
"18",4006.33464116512
"19",4003.15387723569
"20",3999.13143476595
"21",3999.77325558143
"22",4001.37179019917
"23",4001.52999986955
"24",4005.67091533961
"25",4000.78204738423
"26",3997.57961469279
"27",4001.84093173019
"28",3999.78551427627
"29",3998.52675413183
"30",4000.18665457698
"31",4000.15765383329
"32",4005.35287469957
"33",3993.67338281019
"34",3997.12388977858
"35",4002.73464451748
"36",3999.43145788466
"37",3994.06416705867
"38",4010.81946441444
"39",3999.31580036364
"40",4004.1551473728
"41",4003.40131734533
"42",3994.40534775362
"43",4005.70647231259
"44",4002.4537444797
"45",4006.93562450372
"46",3998.2013140341
"47",3995.39997716467
"48",4002.92316809
"49",3994.58496219353
"50",3996.25194071795
"51",3999.78132133836
"52",4003.89750397444
"53",3998.83447560481
"54",4005.02566085357
"55",3993.56068311488
"56",3995.4140076282
"57",3999.12829264422
"58",3994.50817588289
"59",3992.64598157638
"60",4002.6032856847
"61",4010.16815656002
"62",3999.84644966772
"63",3998.44211232034
"64",4003.64807682816
"65",3999.40783902621
"66",4004.35508904301
"67",4005.6599813164
"68",4004.55945772125
"69",3999.71261222159
"70",3999.62994108685
"71",3998.14309562543
"72",3995.96340694187
"73",3999.32954555599
"74",4002.81901317777
"75",3996.94331927511
"76",4010.30380986638
"77",3994.17978022582
"78",4003.78704963318
"79",4001.91670889541
"80",4006.64188732936
"81",4007.19568888478
"82",3997.6279960917
"83",3999.94462530684
"84",3998.7484284591
"85",4003.01678430462
"86",3999.88680775428
"87",4009.71783019593
"88",3999.42171431362
"89",4003.33038578005
"90",3994.80612615666
"91",4001.25466013947
"92",3991.10794232677
"93",4004.94368127032
"94",3997.40746721034
"95",3998.38721578093
"96",4003.03511810391
"97",3994.50904104291
"98",3998.83283698025
"99",4001.47771283367
"100",4006.80396697101
"101",4001.49328526218
"102",3995.76254794115
"103",3998.63040000588
"104",3998.00881137476
"105",4002.45485778162
"106",4008.12628116617
"107",4000.53698481015
"108",3999.82201389179
"109",3997.1758060065
"110",4002.18640507511
"111",3994.01844972598
"112",3997.08352045645
"113",4003.8000647528
"114",3993.73497926179
"115",4000.00590981263
"116",4005.24358855074
"117",4002.33034847337
"118",3995.02845237978
"119",3999.70193902598
"120",3995.60908392659
"121",3997.82365746943
"122",3996.11291788713
"123",4003.29052891514
"124",3992.09345239039
"125",3999.46896327722
"126",4001.27335101774
"127",4002.33688462601
"128",3999.22022700812
"129",3996.89740043778
"130",3998.03714348314
"131",3999.69266262385
"132",3999.30198518971
"133",4004.28713850143
"134",4004.22778112952
"135",3995.65392684739
"136",4008.69222456099
"137",3999.42634351837
"138",3999.45156164393
"139",4001.67316951363
"140",4003.41015875675
"141",4002.31075072824
"142",4000.50029305645
"143",4000.92064291979
"144",3997.3747068556
"145",4010.76480301487
"146",3993.02050936045
"147",3999.28962193131
"148",4003.90497796
"149",4003.23481952794
"150",3997.60125708447
"151",4001.59744409977
"152",3997.98550048294
"153",4000.43477705921
"154",3998.24448018482
"155",4001.08819946549
"156",4001.8306874204
"157",3999.98916570615
"158",3999.12470751575
"159",3999.0974043767
"160",4001.28014975876
"161",3997.63925999576
"162",3997.28223024942
"163",4006.96121692941
"164",4000.2599614121
"165",3997.92835463437
"166",4004.20353060169
"167",4001.51142279428
"168",3998.91975150175
"169",3999.03613636471
"170",3997.86620869218
"171",3996.70436954024
"172",4005.51521602739
"173",4001.73250259944
"174",4003.8122145251
"175",4001.42359467507
"176",4003.42676099146
"177",3999.94861412578
"178",4002.9995070487
"179",3999.52556627102
"180",4000.53457437309
"181",4009.2476163533
"182",4004.92707237271
"183",4001.57053630868
"184",3999.6209423339
"185",3994.99807705373
"186",3997.63484091692
"187",3999.86007886553
"188",3994.00095832961
"189",4001.41549122867
"190",3999.51986264006
"191",3997.55796388759
"192",4001.95838375169
"193",3999.88943101806
"194",3998.42401981471
"195",3998.19058443023
"196",3999.3725355764
"197",3997.87133891228
"198",3997.8434318712
"199",3999.94207782131
"200",3997.24378085931
"201",3999.21037792205
